id,created_at,item,description,price,image,categories
da3bc1b9-79c4-4eab-992c-d36f31a9c0f7,2023-09-24 08:17:19.28246+00,White hoody,Medium white hoody with black text logo on the back,40,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper4.jpg,"tops, mens"
0bd2f867-d3ff-499b-8ed6-bd50005ec6e3,2023-09-23 17:44:23.53502+00,Small pouch,"Light blue and white pouch, for carrying small items, such as cash.",15,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag1.jpg,"bags, unisex"
2387b9b9-94c2-4f4b-87fa-f15aad40d1fe,2023-09-23 17:55:02.015127+00,Flower Rucksack,Brown and white flowery rucksack,22,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag10.jpg,"unisex, bags"
2e972851-d827-4713-a61e-1e2916b41cca,2023-09-23 17:56:00.300692+00,Carrier bag yellow,Yellow plain carrier bag,7,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag11.jpg,"unisex, bags"
918b368f-76cd-4102-8de7-9aa66eecd862,2023-09-23 17:56:39.648776+00,Beige carrier bag,"Plain carrier bag, with simple design",7,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag12.jpg,"unisex, bags"
2026c385-c290-4254-8742-4ebfeaa01aa5,2023-09-24 07:17:07.424759+00,Green Handbag,"Dark green handbag, with shoulder strap and hand helpd strap. Silver coloured clasps.",54,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag2.jpg,"bags, womens"
3a0ab95d-108e-4f0a-aaf3-e22a94b5234b,2023-09-24 07:18:36.817816+00,Light pink handbag,Light pink handbag. Clasps for shoulder strap. 2 pockets inside.,36.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag3.jpg,"bags, womens"
227d3c1a-ff70-4fd4-98dc-f7d48dbc4cef,2023-09-24 07:19:34.374544+00,Black carrier bag,"Simple black carrier bag, medium size. ",8.99,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag4.jpg,"bags, unisex"
2984d3ae-97a1-4be0-b022-18a8c064b046,2023-09-24 07:20:15.569906+00,Green carrier bag,"Simple green bag, with white rope style handles. ",9.25,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag5.jpg,"bags, unisex"
1618e868-8cf9-42d8-97ac-f4db232b6a58,2023-09-24 07:21:46.106942+00,Colourful carrier bag,"Simple bag with pink, white a blue design. White string handles.",9.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag6.jpg,"bags, unisex"
9d18e68f-a703-47a3-a4cb-2c76b3e58e9b,2023-09-24 07:23:04.479533+00,Carrier bag,Small beige bag with blue typed design and light blue handles,5.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag7.jpg,"bags, unisex"
1cb8ceae-13cf-4721-9557-cd416cd08f40,2023-09-24 07:25:37.705563+00,Light pink handbag,"Light pink patterned bag, with chain shoulder strap. 2 pockets inside",42,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag8.jpg,"bags, womens"
f42f37ba-d83f-42fa-b2d1-a40c45957fa1,2023-09-24 07:27:03.53245+00,Blue handbag,"Blue curved style bag, with pattern. Firm hand straps.",48.99,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag9.jpg,"bags, womens"
033f6760-1151-4bf9-8d63-cbadb0e817b1,2023-09-24 07:27:56.051046+00,Orange cap,dark orange cap with logo on the front. Soft material,11,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap1.jpg,"hats, unisex"
bf6b7880-ea46-4dfc-b953-0a0c6e9ffd08,2023-09-24 07:28:50.926148+00,Yellow cap,"Yellow material cap with colourful logo on the front. ",12,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap10.jpg,"hats, unisex"
e789ee7c-b32b-4366-b33f-1ec1195ce792,2023-09-24 07:30:21.664054+00,Black cap,Black cap with white text on the front,10.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap2.jpg,"hats, unisex"
a1e333b0-f873-49f7-81b7-96f0d1091ce7,2023-09-24 07:30:59.835787+00,White cap,"White cap with black logo and white text. ",11,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap3.jpg,"hats, unisex"
ef99c007-95a2-40ae-83e6-8adedf945b34,2023-09-24 07:32:00.81896+00,Black bucket hat,"Black, soft material. Small size",15,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap7.jpg,"hats, unisex"
35ae6ad1-a4dc-4077-b767-57f74c7e7063,2023-09-24 07:32:44.198931+00,Beige hat,"Summery hat, beige with black ribbon. ",18,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap9.jpg,"hats, womens"
